Home,Away,League,Season,Date,Gols_H,Gols_A,FTR,Placar
Union Berlin,Dortmund,Bundesliga,2024/2025,2024-10-05,2.0,1.0,H,2.0 x 1.0
Woking,York,National League,2024/2025,2024-10-05,1.0,1.0,D,1.0 x 1.0
Yeovil,Dag and Red,National League,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
Peterhead,Elgin,League Two,2024/2025,2024-10-05,0.0,1.0,A,0.0 x 1.0
Oldham,Solihull,National League,2024/2025,2024-10-05,2.0,3.0,A,2.0 x 3.0
Hartlepool,Sutton,National League,2024/2025,2024-10-05,4.0,3.0,H,4.0 x 3.0
Halifax,Tamworth,National League,2024/2025,2024-10-05,3.0,2.0,H,3.0 x 2.0
Alloa,Cove Rangers,League One,2024/2025,2024-10-05,0.0,2.0,A,0.0 x 2.0
Gateshead,Wealdstone,National League,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
Fleetwood Town,Bromley,EFL League Two,2024/2025,2024-10-05,0.0,0.0,D,0.0 x 0.0
Fylde,Aldershot,National League,2024/2025,2024-10-05,5.0,2.0,H,5.0 x 2.0
Eastleigh,Forest Green,National League,2024/2025,2024-10-05,1.0,3.0,A,1.0 x 3.0
Braintree Town,Altrincham,National League,2024/2025,2024-10-05,2.0,0.0,H,2.0 x 0.0
Barnet,Boston Utd,National League,2024/2025,2024-10-05,3.0,1.0,H,3.0 x 1.0
Sp Lisbon,Casa Pia,Primeira Liga,2024/2025,2024-10-05,2.0,0.0,H,2.0 x 0.0
Arouca,AVS,Primeira Liga,2024/2025,2024-10-05,1.0,1.0,D,1.0 x 1.0
Moreirense,Santa Clara,Primeira Liga,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
Bochum,Wolfsburg,Bundesliga,2024/2025,2024-10-05,1.0,3.0,A,1.0 x 3.0
Leverkusen,Holstein Kiel,Bundesliga,2024/2025,2024-10-05,2.0,2.0,D,2.0 x 2.0
Ebbsfleet,Rochdale,National League,2024/2025,2024-10-05,2.0,2.0,D,2.0 x 2.0
Stirling,Forfar,League Two,2024/2025,2024-10-05,2.0,1.0,H,2.0 x 1.0
Annan Athletic,Montrose,League One,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
Charlton,Birmingham,EFL League One,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
PSV Eindhoven,Sparta Rotterdam,Eredivisie,2024/2025,2024-10-05,2.0,1.0,H,2.0 x 1.0
NAC Breda,Nijmegen,Eredivisie,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
Wycombe,Crawley Town,EFL League One,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
Wrexham,Northampton,EFL League One,2024/2025,2024-10-05,4.0,1.0,H,4.0 x 1.0
Stockport,Wigan,EFL League One,2024/2025,2024-10-05,0.0,0.0,D,0.0 x 0.0
Rotherham,Reading,EFL League One,2024/2025,2024-10-05,2.0,1.0,H,2.0 x 1.0
Mansfield,Blackpool,EFL League One,2024/2025,2024-10-05,2.0,0.0,H,2.0 x 0.0
Utrecht,Waalwijk,Eredivisie,2024/2025,2024-10-05,3.0,2.0,H,3.0 x 2.0
Lincoln,Leyton Orient,EFL League One,2024/2025,2024-10-05,2.0,1.0,H,2.0 x 1.0
Metz,Amiens,Ligue 2,2024/2025,2024-10-05,3.0,2.0,H,3.0 x 2.0
Burton,Bristol Rvs,EFL League One,2024/2025,2024-10-05,1.0,3.0,A,1.0 x 3.0
Bolton,Shrewsbury,EFL League One,2024/2025,2024-10-05,2.0,2.0,D,2.0 x 2.0
Peterboro,Stevenage,EFL League One,2024/2025,2024-10-05,2.0,1.0,H,2.0 x 1.0
Huddersfield,Barnsley,EFL League One,2024/2025,2024-10-05,2.0,0.0,H,2.0 x 0.0
Mechelen,Oud-Heverlee Leuven,Jupiler League,2024/2025,2024-10-05,5.0,0.0,H,5.0 x 0.0
Kortrijk,Genk,Jupiler League,2024/2025,2024-10-05,2.0,1.0,H,2.0 x 1.0
Exeter,Cambridge,EFL League One,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
Dender,Charleroi,Jupiler League,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
Hatayspor,Trabzonspor,Super Lig,2024/2025,2024-10-05,1.0,1.0,D,1.0 x 1.0
Goztep,Sivasspor,Super Lig,2024/2025,2024-10-05,3.0,2.0,H,3.0 x 2.0
Swansea,Stoke,EFL Championship,2024/2025,2024-10-05,0.0,0.0,D,0.0 x 0.0
Watford,Middlesbrough,EFL Championship,2024/2025,2024-10-05,2.0,1.0,H,2.0 x 1.0
West Brom,Millwall,EFL Championship,2024/2025,2024-10-05,0.0,0.0,D,0.0 x 0.0
Sheffield United,Luton,EFL Championship,2024/2025,2024-10-05,2.0,0.0,H,2.0 x 0.0
Spezia,Reggiana,Serie B,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
Sassuolo,Cittadella,Serie B,2024/2025,2024-10-05,6.0,1.0,H,6.0 x 1.0
Pisa,Cesena,Serie B,2024/2025,2024-10-05,3.0,1.0,H,3.0 x 1.0
Buyuksehyr,Kayserispor,Super Lig,2024/2025,2024-10-05,1.0,1.0,D,1.0 x 1.0
Frosinone,Carrarese,Serie B,2024/2025,2024-10-05,0.0,1.0,A,0.0 x 1.0
Derby,QPR,EFL Championship,2024/2025,2024-10-05,2.0,0.0,H,2.0 x 0.0
Coventry,Sheffield Weds,EFL Championship,2024/2025,2024-10-05,1.0,2.0,A,1.0 x 2.0
Portsmouth,Oxford,EFL Championship,2024/2025,2024-10-05,1.0,1.0,D,1.0 x 1.0
Norwich,Hull,EFL Championship,2024/2025,2024-10-05,4.0,0.0,H,4.0 x 0.0
Burnley,Preston,EFL Championship,2024/2025,2024-10-05,0.0,0.0,D,0.0 x 0.0
Caen,Lorient,Ligue 2,2024/2025,2024-10-05,1.0,2.0,A,1.0 x 2.0
Kasimpasa,Bodrumspor,Super Lig,2024/2025,2024-10-05,0.0,0.0,D,0.0 x 0.0
Plymouth,Blackburn,EFL Championship,2024/2025,2024-10-05,2.0,1.0,H,2.0 x 1.0
Ajaccio,Martigues,Ligue 2,2024/2025,2024-10-05,1.0,1.0,D,1.0 x 1.0
Clermont,Guingamp,Ligue 2,2024/2025,2024-10-05,4.0,1.0,H,4.0 x 1.0
Nurnberg,Preußen Münster,Bundesliga 2,2024/2025,2024-10-05,3.0,2.0,H,3.0 x 2.0
Schalke 04,Hertha,Bundesliga 2,2024/2025,2024-10-05,2.0,2.0,D,2.0 x 2.0
Elversberg,Kaiserslautern,Bundesliga 2,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
Falkirk,Ayr,Championship,2024/2025,2024-10-05,2.0,0.0,H,2.0 x 0.0
Airdrie Utd,Dunfermline,Championship,2024/2025,2024-10-05,1.0,1.0,D,1.0 x 1.0
Morton,Raith Rvs,Championship,2024/2025,2024-10-05,2.0,0.0,H,2.0 x 0.0
Partick,Livingston,Championship,2024/2025,2024-10-05,0.0,0.0,D,0.0 x 0.0
Queens Park,Hamilton,Championship,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
Queen of Sth,Kelty Hearts,League One,2024/2025,2024-10-05,1.0,5.0,A,1.0 x 5.0
FC Koln,Ulm,Bundesliga 2,2024/2025,2024-10-05,2.0,0.0,H,2.0 x 0.0
Dumbarton,Stenhousemuir,League One,2024/2025,2024-10-05,1.0,3.0,A,1.0 x 3.0
Arbroath,Inverness C,League One,2024/2025,2024-10-05,1.0,0.0,H,1.0 x 0.0
Alaves,Barcelona,LaLiga,2024/2025,2024-10-06,0.0,3.0,A,0.0 x 3.0
Chelsea,Nott'm Forest,Premier League,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Albacete,Cordoba,LaLiga 2,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Lazio,Empoli,Serie A,2024/2025,2024-10-06,2.0,1.0,H,2.0 x 1.0
Palermo,Salernitana,Serie B,2024/2025,2024-10-06,0.0,1.0,A,0.0 x 1.0
Catanzaro,Modena,Serie B,2024/2025,2024-10-06,2.0,2.0,D,2.0 x 2.0
Cosenza,Sudtirol,Serie B,2024/2025,2024-10-06,0.0,2.0,A,0.0 x 2.0
Sociedad,Ath Madrid,LaLiga,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Sevilla,Betis,LaLiga,2024/2025,2024-10-06,1.0,0.0,H,1.0 x 0.0
Go Ahead Eagles,Heracles,Eredivisie,2024/2025,2024-10-06,4.0,1.0,H,4.0 x 1.0
Feyenoord,Twente,Eredivisie,2024/2025,2024-10-06,2.0,1.0,H,2.0 x 1.0
Mantova,Brescia,Serie B,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Lyon,Nantes,Ligue 1,2024/2025,2024-10-06,2.0,0.0,H,2.0 x 0.0
Brest,Le Havre,Ligue 1,2024/2025,2024-10-06,2.0,0.0,H,2.0 x 0.0
Heerenveen,Zwolle,Eredivisie,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Aston Villa,Man United,Premier League,2024/2025,2024-10-06,0.0,0.0,D,0.0 x 0.0
Cremonese,Bari,Serie B,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Juventus,Cagliari,Serie A,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Bologna,Parma,Serie A,2024/2025,2024-10-06,0.0,0.0,D,0.0 x 0.0
Reims,Montpellier,Ligue 1,2024/2025,2024-10-06,4.0,2.0,H,4.0 x 2.0
Strasbourg,Lens,Ligue 1,2024/2025,2024-10-06,2.0,2.0,D,2.0 x 2.0
Nice,Paris SG,Ligue 1,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Girona,Ath Bilbao,LaLiga,2024/2025,2024-10-06,2.0,1.0,H,2.0 x 1.0
Ajax,Groningen,Eredivisie,2024/2025,2024-10-06,3.0,1.0,H,3.0 x 1.0
For Sittard,AZ Alkmaar,Eredivisie,2024/2025,2024-10-06,1.0,0.0,H,1.0 x 0.0
Porto,Sp Braga,Primeira Liga,2024/2025,2024-10-06,2.0,1.0,H,2.0 x 1.0
Antwerp,Cercle Brugge,Jupiler League,2024/2025,2024-10-06,3.0,0.0,H,3.0 x 0.0
Club Brugge,St. Gilloise,Jupiler League,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Panserraikos,OFI Crete,Superliga,2024/2025,2024-10-06,2.0,3.0,A,2.0 x 3.0
Athens Kallithea,Asteras Tripolis,Superliga,2024/2025,2024-10-06,1.0,3.0,A,1.0 x 3.0
Levadeiakos,PAOK,Superliga,2024/2025,2024-10-06,0.0,2.0,A,0.0 x 2.0
Panathinaikos,Olympiakos,Superliga,2024/2025,2024-10-06,0.0,0.0,D,0.0 x 0.0
Anderlecht,Standard,Jupiler League,2024/2025,2024-10-06,3.0,0.0,H,3.0 x 0.0
Konyaspor,Eyupspor,Super Lig,2024/2025,2024-10-06,2.0,1.0,H,2.0 x 1.0
Galatasaray,Alanyaspor,Super Lig,2024/2025,2024-10-06,1.0,0.0,H,1.0 x 0.0
Gaziantep,Besiktas,Super Lig,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Aberdeen,Hearts,Premiership,2024/2025,2024-10-06,3.0,2.0,H,3.0 x 2.0
Rangers,St Johnstone,Premiership,2024/2025,2024-10-06,2.0,0.0,H,2.0 x 0.0
Brighton,Tottenham,Premier League,2024/2025,2024-10-06,3.0,2.0,H,3.0 x 2.0
St Truiden,Gent,Jupiler League,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Ad. Demirspor,Samsunspor,Super Lig,2024/2025,2024-10-06,1.0,3.0,A,1.0 x 3.0
La Coruna,Malaga,LaLiga 2,2024/2025,2024-10-06,0.0,0.0,D,0.0 x 0.0
Eldense,Castellon,LaLiga 2,2024/2025,2024-10-06,2.0,3.0,A,2.0 x 3.0
Levante,Oviedo,LaLiga 2,2024/2025,2024-10-06,0.0,0.0,D,0.0 x 0.0
Guimaraes,Boavista,Primeira Liga,2024/2025,2024-10-06,2.0,2.0,D,2.0 x 2.0
Farense,Estoril,Primeira Liga,2024/2025,2024-10-06,1.0,0.0,H,1.0 x 0.0
Braunschweig,Hannover,Bundesliga 2,2024/2025,2024-10-06,2.0,0.0,H,2.0 x 0.0
Monza,Roma,Serie A,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Fiorentina,Milan,Serie A,2024/2025,2024-10-06,2.0,1.0,H,2.0 x 1.0
Fortuna Dusseldorf,Hamburg,Bundesliga 2,2024/2025,2024-10-06,0.0,3.0,A,0.0 x 3.0
Magdeburg,Greuther Furth,Bundesliga 2,2024/2025,2024-10-06,2.0,2.0,D,2.0 x 2.0
Ross County,Celtic,Premiership,2024/2025,2024-10-06,1.0,2.0,A,1.0 x 2.0
Heidenheim,RB Leipzig,Bundesliga,2024/2025,2024-10-06,0.0,1.0,A,0.0 x 1.0
Ein Frankfurt,Bayern Munich,Bundesliga,2024/2025,2024-10-06,3.0,3.0,D,3.0 x 3.0
Stuttgart,Hoffenheim,Bundesliga,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Bristol City,Cardiff,EFL Championship,2024/2025,2024-10-06,1.0,1.0,D,1.0 x 1.0
Bradford,Newport County,EFL League Two,2024/2025,2024-10-07,3.0,1.0,H,3.0 x 1.0
Falkirk,Livingston,Championship,2024/2025,2024-10-08,0.0,0.0,D,0.0 x 0.0
Tamworth,Gateshead,National League,2024/2025,2024-10-08,2.0,1.0,H,2.0 x 1.0
Tenerife,Zaragoza,LaLiga 2,2024/2025,2024-10-11,2.0,3.0,A,2.0 x 3.0
Cartagena,Ferrol,LaLiga 2,2024/2025,2024-10-12,0.0,1.0,A,0.0 x 1.0
Partick,Falkirk,Championship,2024/2025,2024-10-12,1.0,1.0,D,1.0 x 1.0
Eibar,Eldense,LaLiga 2,2024/2025,2024-10-12,1.0,0.0,H,1.0 x 0.0
Doncaster,Crewe,EFL League Two,2024/2025,2024-10-12,1.0,1.0,D,1.0 x 1.0
Cheltenham,Swindon,EFL League Two,2024/2025,2024-10-12,2.0,3.0,A,2.0 x 3.0
Barrow,Morecambe,EFL League Two,2024/2025,2024-10-12,0.0,1.0,A,0.0 x 1.0
AFC Wimbledon,Carlisle,EFL League Two,2024/2025,2024-10-12,4.0,0.0,H,4.0 x 0.0
Chesterfield,Notts County,EFL League Two,2024/2025,2024-10-12,2.0,2.0,D,2.0 x 2.0
Salford,Grimsby,EFL League Two,2024/2025,2024-10-12,1.0,2.0,A,1.0 x 2.0
Tranmere,Bradford,EFL League Two,2024/2025,2024-10-12,0.0,2.0,A,0.0 x 2.0
Cadiz,Malaga,LaLiga 2,2024/2025,2024-10-12,2.0,2.0,D,2.0 x 2.0
Milton Keynes Dons,Port Vale,EFL League Two,2024/2025,2024-10-12,0.0,1.0,A,0.0 x 1.0
Harrogate,Newport County,EFL League Two,2024/2025,2024-10-12,1.0,0.0,H,1.0 x 0.0
Peterboro,Rotherham,EFL League One,2024/2025,2024-10-12,3.0,3.0,D,3.0 x 3.0
Gillingham,Accrington,EFL League Two,2024/2025,2024-10-12,1.0,2.0,A,1.0 x 2.0
Edinburgh City,Spartans,League Two,2024/2025,2024-10-12,2.0,0.0,H,2.0 x 0.0
Crawley Town,Shrewsbury,EFL League One,2024/2025,2024-10-12,3.0,5.0,A,3.0 x 5.0
Elche,La Coruna,LaLiga 2,2024/2025,2024-10-13,0.0,0.0,D,0.0 x 0.0
Granada,Cordoba,LaLiga 2,2024/2025,2024-10-13,1.0,0.0,H,1.0 x 0.0
Burgos,Mirandes,LaLiga 2,2024/2025,2024-10-13,0.0,1.0,A,0.0 x 1.0
Santander,Levante,LaLiga 2,2024/2025,2024-10-13,1.0,0.0,H,1.0 x 0.0
Oviedo,Almeria,LaLiga 2,2024/2025,2024-10-13,3.0,2.0,H,3.0 x 2.0
Huesca,Albacete,LaLiga 2,2024/2025,2024-10-13,2.0,2.0,D,2.0 x 2.0
Sp Gijon,Castellon,LaLiga 2,2024/2025,2024-10-14,2.0,1.0,H,2.0 x 1.0
Shrewsbury,Exeter,EFL League One,2024/2025,2024-10-17,0.0,2.0,A,0.0 x 2.0
Darmstadt,FC Koln,Bundesliga 2,2024/2025,2024-10-18,5.0,1.0,H,5.0 x 1.0
Hertha,Braunschweig,Bundesliga 2,2024/2025,2024-10-18,3.0,1.0,H,3.0 x 1.0
Leeds,Sheffield United,EFL Championship,2024/2025,2024-10-18,2.0,0.0,H,2.0 x 0.0
Monaco,Lille,Ligue 1,2024/2025,2024-10-18,0.0,0.0,D,0.0 x 0.0
Newport County,Chesterfield,EFL League Two,2024/2025,2024-10-18,0.0,3.0,A,0.0 x 3.0
Hamilton,Falkirk,Championship,2024/2025,2024-10-18,1.0,3.0,A,1.0 x 3.0
Bastia,Clermont,Ligue 2,2024/2025,2024-10-18,0.0,0.0,D,0.0 x 0.0
Beerschot VA,Anderlecht,Jupiler League,2024/2025,2024-10-18,2.0,1.0,H,2.0 x 1.0
Alaves,Valladolid,LaLiga,2024/2025,2024-10-18,2.0,3.0,A,2.0 x 3.0
Martigues,Rodez,Ligue 2,2024/2025,2024-10-18,0.0,2.0,A,0.0 x 2.0
Red Star,Caen,Ligue 2,2024/2025,2024-10-18,2.0,2.0,D,2.0 x 2.0
Laval,Dunkerque,Ligue 2,2024/2025,2024-10-18,3.0,2.0,H,3.0 x 2.0
Guingamp,Pau FC,Ligue 2,2024/2025,2024-10-18,0.0,1.0,A,0.0 x 1.0
Grenoble,Metz,Ligue 2,2024/2025,2024-10-18,2.0,0.0,H,2.0 x 0.0
Dortmund,St Pauli,Bundesliga,2024/2025,2024-10-18,2.0,1.0,H,2.0 x 1.0
Cordoba,Cartagena,LaLiga 2,2024/2025,2024-10-18,2.0,1.0,H,2.0 x 1.0
Bari,Catanzaro,Serie B,2024/2025,2024-10-18,1.0,1.0,D,1.0 x 1.0
Mirandes,Eibar,LaLiga 2,2024/2025,2024-10-19,1.0,0.0,H,1.0 x 0.0
Brest,Rennes,Ligue 1,2024/2025,2024-10-19,1.0,1.0,D,1.0 x 1.0
Ayr,Livingston,Championship,2024/2025,2024-10-19,1.0,2.0,A,1.0 x 2.0
Dunfermline,Morton,Championship,2024/2025,2024-10-19,0.0,0.0,D,0.0 x 0.0
Partick,Airdrie Utd,Championship,2024/2025,2024-10-19,2.0,1.0,H,2.0 x 1.0
Amiens,Ajaccio,Ligue 2,2024/2025,2024-10-19,3.0,1.0,H,3.0 x 1.0
Stranraer,Peterhead,League Two,2024/2025,2024-10-19,0.0,0.0,D,0.0 x 0.0
Lorient,Annecy,Ligue 2,2024/2025,2024-10-19,4.0,2.0,H,4.0 x 2.0
Granada,Tenerife,LaLiga 2,2024/2025,2024-10-19,4.0,0.0,H,4.0 x 0.0
Stirling,Clyde,League Two,2024/2025,2024-10-19,3.0,1.0,H,3.0 x 1.0
Spartans,Elgin,League Two,2024/2025,2024-10-19,1.0,3.0,A,1.0 x 3.0
Forfar,East Fife,League Two,2024/2025,2024-10-19,0.0,0.0,D,0.0 x 0.0
Tottenham,West Ham,Premier League,2024/2025,2024-10-19,4.0,1.0,H,4.0 x 1.0
Paris SG,Strasbourg,Ligue 1,2024/2025,2024-10-19,4.0,2.0,H,4.0 x 2.0
St Etienne,Lens,Ligue 1,2024/2025,2024-10-19,0.0,2.0,A,0.0 x 2.0
Raith Rvs,Queens Park,Championship,2024/2025,2024-10-19,1.0,1.0,D,1.0 x 1.0
Castellon,Levante,LaLiga 2,2024/2025,2024-10-19,2.0,0.0,H,2.0 x 0.0
Stoke,Norwich,EFL Championship,2024/2025,2024-10-19,1.0,1.0,D,1.0 x 1.0
La Coruna,Eldense,LaLiga 2,2024/2025,2024-10-19,1.0,1.0,D,1.0 x 1.0
Sheffield Weds,Burnley,EFL Championship,2024/2025,2024-10-19,0.0,2.0,A,0.0 x 2.0
Aldershot,Eastleigh,National League,2024/2025,2024-10-19,2.0,1.0,H,2.0 x 1.0
Altrincham,Gateshead,National League,2024/2025,2024-10-19,2.0,2.0,D,2.0 x 2.0
Boston Utd,Halifax,National League,2024/2025,2024-10-19,0.0,1.0,A,0.0 x 1.0
Dag and Red,Fylde,National League,2024/2025,2024-10-19,4.0,0.0,H,4.0 x 0.0
Forest Green,Braintree Town,National League,2024/2025,2024-10-19,2.0,1.0,H,2.0 x 1.0
Maidenhead,Hartlepool,National League,2024/2025,2024-10-19,1.0,1.0,D,1.0 x 1.0
Solihull,Barnet,National League,2024/2025,2024-10-19,4.0,3.0,H,4.0 x 3.0
Sutton,Oldham,National League,2024/2025,2024-10-19,1.0,3.0,A,1.0 x 3.0
Tamworth,Woking,National League,2024/2025,2024-10-19,3.0,2.0,H,3.0 x 2.0
Wealdstone,Yeovil,National League,2024/2025,2024-10-19,0.0,3.0,A,0.0 x 3.0
Kaiserslautern,Paderborn,Bundesliga 2,2024/2025,2024-10-19,3.0,0.0,H,3.0 x 0.0
Regensburg,Fortuna Dusseldorf,Bundesliga 2,2024/2025,2024-10-19,0.0,3.0,A,0.0 x 3.0
Preußen Münster,Elversberg,Bundesliga 2,2024/2025,2024-10-19,1.0,1.0,D,1.0 x 1.0
Hannover,Schalke 04,Bundesliga 2,2024/2025,2024-10-19,1.0,0.0,H,1.0 x 0.0
York,Ebbsfleet,National League,2024/2025,2024-10-19,4.0,0.0,H,4.0 x 0.0
Rochdale,Southend,National League,2024/2025,2024-10-19,0.0,1.0,A,0.0 x 1.0
Malaga,Oviedo,LaLiga 2,2024/2025,2024-10-19,0.0,0.0,D,0.0 x 0.0
Bonnyrigg Rose,Edinburgh City,League Two,2024/2025,2024-10-19,2.0,0.0,H,2.0 x 0.0
Sudtirol,Pisa,Serie B,2024/2025,2024-10-19,1.0,2.0,A,1.0 x 2.0
Mansfield,Stevenage,EFL League One,2024/2025,2024-10-19,0.0,1.0,A,0.0 x 1.0
Bromley,Tranmere,EFL League Two,2024/2025,2024-10-19,1.0,2.0,A,1.0 x 2.0
Bradford,Gillingham,EFL League Two,2024/2025,2024-10-19,2.0,1.0,H,2.0 x 1.0
Accrington,Barrow,EFL League Two,2024/2025,2024-10-19,1.0,0.0,H,1.0 x 0.0
Reading,Crawley Town,EFL League One,2024/2025,2024-10-19,4.0,1.0,H,4.0 x 1.0
Salernitana,Spezia,Serie B,2024/2025,2024-10-19,0.0,2.0,A,0.0 x 2.0
Brescia,Sassuolo,Serie B,2024/2025,2024-10-19,2.0,5.0,A,2.0 x 5.0
Lamia,Asteras Tripolis,Superliga,2024/2025,2024-10-19,0.0,0.0,D,0.0 x 0.0
Atromitos,Panetolikos,Superliga,2024/2025,2024-10-19,0.0,2.0,A,0.0 x 2.0
Carlisle,Harrogate,EFL League Two,2024/2025,2024-10-19,1.0,1.0,D,1.0 x 1.0
Volos NFC,Panserraikos,Superliga,2024/2025,2024-10-19,0.0,1.0,A,0.0 x 1.0
Wycombe,Peterboro,EFL League One,2024/2025,2024-10-19,3.0,1.0,H,3.0 x 1.0
Blackpool,Barnsley,EFL League One,2024/2025,2024-10-19,1.0,2.0,A,1.0 x 2.0
Bolton,Burton,EFL League One,2024/2025,2024-10-19,2.0,1.0,H,2.0 x 1.0
Cambridge,Wigan,EFL League One,2024/2025,2024-10-19,2.0,0.0,H,2.0 x 0.0
Charlton,Stockport,EFL League One,2024/2025,2024-10-19,1.0,1.0,D,1.0 x 1.0
Huddersfield,Bristol Rvs,EFL League One,2024/2025,2024-10-19,3.0,1.0,H,3.0 x 1.0
Lincoln,Birmingham,EFL League One,2024/2025,2024-10-19,1.0,3.0,A,1.0 x 3.0
Southampton,Leicester,Premier League,2024/2025,2024-10-19,2.0,3.0,A,2.0 x 3.0
Nijmegen,Heerenveen,Eredivisie,2024/2025,2024-10-19,3.0,0.0,H,3.0 x 0.0
Colchester,Cheltenham,EFL League Two,2024/2025,2024-10-19,1.0,2.0,A,1.0 x 2.0
Crewe,Salford,EFL League Two,2024/2025,2024-10-19,1.0,1.0,D,1.0 x 1.0
Grimsby,Walsall,EFL League Two,2024/2025,2024-10-19,1.0,4.0,A,1.0 x 4.0
Newcastle,Brighton,Premier League,2024/2025,2024-10-19,0.0,1.0,A,0.0 x 1.0
Man United,Brentford,Premier League,2024/2025,2024-10-19,2.0,1.0,H,2.0 x 1.0
Ipswich,Everton,Premier League,2024/2025,2024-10-19,0.0,2.0,A,0.0 x 2.0
Fulham,Aston Villa,Premier League,2024/2025,2024-10-19,1.0,3.0,A,1.0 x 3.0
Celta,Real Madrid,LaLiga,2024/2025,2024-10-19,1.0,2.0,A,1.0 x 2.0
Girona,Sociedad,LaLiga,2024/2025,2024-10-19,0.0,1.0,A,0.0 x 1.0
Osasuna,Betis,LaLiga,2024/2025,2024-10-19,1.0,2.0,A,1.0 x 2.0
Ath Bilbao,Espanol,LaLiga,2024/2025,2024-10-19,4.0,1.0,H,4.0 x 1.0
St. Gilloise,Gent,Jupiler League,2024/2025,2024-10-19,0.0,0.0,D,0.0 x 0.0
Cercle Brugge,Dender,Jupiler League,2024/2025,2024-10-19,0.0,0.0,D,0.0 x 0.0
Westerlo,Club Brugge,Jupiler League,2024/2025,2024-10-19,1.0,2.0,A,1.0 x 2.0
Sparta Rotterdam,Almere City,Eredivisie,2024/2025,2024-10-19,2.0,2.0,D,2.0 x 2.0
AZ Alkmaar,PSV Eindhoven,Eredivisie,2024/2025,2024-10-19,1.0,2.0,A,1.0 x 2.0
Cittadella,Cosenza,Serie B,2024/2025,2024-10-19,0.0,0.0,D,0.0 x 0.0
Modena,Palermo,Serie B,2024/2025,2024-10-19,2.0,2.0,D,2.0 x 2.0
Swindon,Doncaster,EFL League Two,2024/2025,2024-10-19,1.0,2.0,A,1.0 x 2.0
Port Vale,Fleetwood Town,EFL League Two,2024/2025,2024-10-19,3.0,1.0,H,3.0 x 1.0
Notts County,AFC Wimbledon,EFL League Two,2024/2025,2024-10-19,1.0,0.0,H,1.0 x 0.0
Morecambe,Milton Keynes Dons,EFL League Two,2024/2025,2024-10-19,1.0,3.0,A,1.0 x 3.0
Northampton,Leyton Orient,EFL League One,2024/2025,2024-10-19,1.0,0.0,H,1.0 x 0.0
Rotherham,Wrexham,EFL League One,2024/2025,2024-10-19,0.0,1.0,A,0.0 x 1.0
Bournemouth,Arsenal,Premier League,2024/2025,2024-10-19,2.0,0.0,H,2.0 x 0.0
Preston,Coventry,EFL Championship,2024/2025,2024-10-19,1.0,0.0,H,1.0 x 0.0
Leverkusen,Ein Frankfurt,Bundesliga,2024/2025,2024-10-19,2.0,1.0,H,2.0 x 1.0
QPR,Portsmouth,EFL Championship,2024/2025,2024-10-19,1.0,2.0,A,1.0 x 2.0
Millwall,Derby,EFL Championship,2024/2025,2024-10-19,1.0,1.0,D,1.0 x 1.0
Middlesbrough,Bristol City,EFL Championship,2024/2025,2024-10-19,0.0,2.0,A,0.0 x 2.0
Blackburn,Swansea,EFL Championship,2024/2025,2024-10-19,1.0,0.0,H,1.0 x 0.0
Dundee United,Hibernian,Premiership,2024/2025,2024-10-19,3.0,2.0,H,3.0 x 2.0
Oxford,West Brom,EFL Championship,2024/2025,2024-10-19,1.0,1.0,D,1.0 x 1.0
Juventus,Lazio,Serie A,2024/2025,2024-10-19,1.0,0.0,H,1.0 x 0.0
Milan,Udinese,Serie A,2024/2025,2024-10-19,1.0,0.0,H,1.0 x 0.0
Genoa,Bologna,Serie A,2024/2025,2024-10-19,2.0,2.0,D,2.0 x 2.0
Como,Parma,Serie A,2024/2025,2024-10-19,1.0,1.0,D,1.0 x 1.0
Luton,Watford,EFL Championship,2024/2025,2024-10-19,3.0,0.0,H,3.0 x 0.0
